Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,Value
2012,Prozent,,,3.6
2013,Prozent,,,4.4
2014,Prozent,,,5.9
2015,Prozent,,,7.6
2016,Prozent,r,,8.7
2017,Prozent,r,,8.4
2018,Prozent,,,7.4
2019,Prozent,,,7.9
2020,Prozent,|,r,11.9
2021,Prozent,|,r,13.1
2022,Prozent,r,,12.0
2023,Prozent,,,10.2
2024,Prozent,|,,8.9
2030,Prozent,…,,
