Year,Units,Value
2000,Prozent,84.377
2005,Prozent,79.447
2010,Prozent,75.752
2015,Prozent,68.677
2016,Prozent,71.592
2017,Prozent,71.334
2018,Prozent,68.811
2019,Prozent,68.513
2001,Prozent,
2002,Prozent,
2003,Prozent,
2004,Prozent,
2006,Prozent,
2007,Prozent,
2008,Prozent,
2009,Prozent,
2011,Prozent,
2012,Prozent,
2013,Prozent,
2014,Prozent,
2030,Prozent,
