Year,Units,time series,länder,GeoCode,Value
2023/1,percentage,all wired technologies,north rhine-westphalia,code05,79.9
2023/2,percentage,all wired technologies,north rhine-westphalia,code05,80.28
2024/1,percentage,all wired technologies,north rhine-westphalia,code05,81.58
2024/2,percentage,all wired technologies,north rhine-westphalia,code05,82.75
2025/1,percentage,all wired technologies,north rhine-westphalia,code05,83.54
2022/1,percentage,all wired technologies,rhineland palatinate,code07,58.24
2022/2,percentage,all wired technologies,rhineland palatinate,code07,62.14
2023/1,percentage,all wired technologies,rhineland palatinate,code07,65.71
2023/2,percentage,all wired technologies,rhineland palatinate,code07,67.79
2024/1,percentage,all wired technologies,rhineland palatinate,code07,71.61
2024/2,percentage,all wired technologies,rhineland palatinate,code07,74.14
2025/1,percentage,all wired technologies,rhineland palatinate,code07,76.46
2022/1,percentage,all wired technologies,saarland,code10,59.87
2022/2,percentage,all wired technologies,saarland,code10,60.76
2023/1,percentage,all wired technologies,saarland,code10,62.91
2023/2,percentage,all wired technologies,saarland,code10,63.97
2024/1,percentage,all wired technologies,saarland,code10,67.33
2024/2,percentage,all wired technologies,saarland,code10,70.15
2025/1,percentage,all wired technologies,saarland,code10,73.82
2022/1,percentage,all wired technologies,saxony,code14,43.78
2022/2,percentage,all wired technologies,saxony,code14,51.36
2023/1,percentage,all wired technologies,saxony,code14,61.21
2023/2,percentage,all wired technologies,saxony,code14,62.27
2024/1,percentage,all wired technologies,saxony,code14,64.59
2024/2,percentage,all wired technologies,saxony,code14,65.24
2025/1,percentage,all wired technologies,saxony,code14,66.07
2022/1,percentage,all wired technologies,saxony-anhalt,code15,33.82
2022/2,percentage,all wired technologies,saxony-anhalt,code15,37.85
2023/1,percentage,all wired technologies,saxony-anhalt,code15,48.87
2023/2,percentage,all wired technologies,saxony-anhalt,code15,51.05
2024/1,percentage,all wired technologies,saxony-anhalt,code15,60.52
2024/2,percentage,all wired technologies,saxony-anhalt,code15,62.83
2025/1,percentage,all wired technologies,saxony-anhalt,code15,63.91
2022/1,percentage,all wired technologies,schleswig-holstein,code01,85.08
2022/2,percentage,all wired technologies,schleswig-holstein,code01,86.75
2023/1,percentage,all wired technologies,schleswig-holstein,code01,88.66
2023/2,percentage,all wired technologies,schleswig-holstein,code01,89.86
2024/1,percentage,all wired technologies,schleswig-holstein,code01,90.27
2024/2,percentage,all wired technologies,schleswig-holstein,code01,91.56
2025/1,percentage,all wired technologies,schleswig-holstein,code01,93.02
2022/1,percentage,all wired technologies,thuringia,code16,39.9
2022/2,percentage,all wired technologies,thuringia,code16,41.39
2023/1,percentage,all wired technologies,thuringia,code16,46.44
2023/2,percentage,all wired technologies,thuringia,code16,50.76
2024/1,percentage,all wired technologies,thuringia,code16,52.53
2024/2,percentage,all wired technologies,thuringia,code16,55.7
2025/1,percentage,all wired technologies,thuringia,code16,56.98
2022/1,percentage,fibre-to-the-building/home (fttb/h),baden-wuerttemberg,code08,10.94
2022/2,percentage,fibre-to-the-building/home (fttb/h),baden-wuerttemberg,code08,19.99
2023/1,percentage,fibre-to-the-building/home (fttb/h),baden-wuerttemberg,code08,18.3
2023/2,percentage,fibre-to-the-building/home (fttb/h),baden-wuerttemberg,code08,18.87
2024/1,percentage,fibre-to-the-building/home (fttb/h),baden-wuerttemberg,code08,22.59
2024/2,percentage,fibre-to-the-building/home (fttb/h),baden-wuerttemberg,code08,27.16
2025/1,percentage,fibre-to-the-building/home (fttb/h),baden-wuerttemberg,code08,29.77
2022/1,percentage,fibre-to-the-building/home (fttb/h),bavaria,code09,18.99
2022/2,percentage,fibre-to-the-building/home (fttb/h),bavaria,code09,21.57
2023/1,percentage,fibre-to-the-building/home (fttb/h),bavaria,code09,24.36
2023/2,percentage,fibre-to-the-building/home (fttb/h),bavaria,code09,28.71
2024/1,percentage,fibre-to-the-building/home (fttb/h),bavaria,code09,31.18
2024/2,percentage,fibre-to-the-building/home (fttb/h),bavaria,code09,34.12
2025/1,percentage,fibre-to-the-building/home (fttb/h),bavaria,code09,35.86
2022/1,percentage,fibre-to-the-building/home (fttb/h),berlin,code11,11.62
2022/2,percentage,fibre-to-the-building/home (fttb/h),berlin,code11,15.72
2023/1,percentage,fibre-to-the-building/home (fttb/h),berlin,code11,19.77
2023/2,percentage,fibre-to-the-building/home (fttb/h),berlin,code11,29.97
2024/1,percentage,fibre-to-the-building/home (fttb/h),berlin,code11,33.54
2024/2,percentage,fibre-to-the-building/home (fttb/h),berlin,code11,40.53
2025/1,percentage,fibre-to-the-building/home (fttb/h),berlin,code11,44.57
2022/1,percentage,fibre-to-the-building/home (fttb/h),brandenburg,code12,27.52
2022/2,percentage,fibre-to-the-building/home (fttb/h),brandenburg,code12,24.61
2023/1,percentage,fibre-to-the-building/home (fttb/h),brandenburg,code12,36.7
2023/2,percentage,fibre-to-the-building/home (fttb/h),brandenburg,code12,41.07
2024/1,percentage,fibre-to-the-building/home (fttb/h),brandenburg,code12,44.63
2024/2,percentage,fibre-to-the-building/home (fttb/h),brandenburg,code12,47.22
2025/1,percentage,fibre-to-the-building/home (fttb/h),brandenburg,code12,39.52
2022/1,percentage,fibre-to-the-building/home (fttb/h),bremen,code04,9.79
2022/2,percentage,fibre-to-the-building/home (fttb/h),bremen,code04,16.6
2023/1,percentage,fibre-to-the-building/home (fttb/h),bremen,code04,25.22
2023/2,percentage,fibre-to-the-building/home (fttb/h),bremen,code04,32.59
2024/1,percentage,fibre-to-the-building/home (fttb/h),bremen,code04,40.4
2024/2,percentage,fibre-to-the-building/home (fttb/h),bremen,code04,61.92
2025/1,percentage,fibre-to-the-building/home (fttb/h),bremen,code04,68.55
2022/1,percentage,fibre-to-the-building/home (fttb/h),hamburg,code02,44.22
2022/2,percentage,fibre-to-the-building/home (fttb/h),hamburg,code02,52.38
2023/1,percentage,fibre-to-the-building/home (fttb/h),hamburg,code02,64.8
2023/2,percentage,fibre-to-the-building/home (fttb/h),hamburg,code02,68.1
2024/1,percentage,fibre-to-the-building/home (fttb/h),hamburg,code02,73.15
2024/2,percentage,fibre-to-the-building/home (fttb/h),hamburg,code02,76.54
2025/1,percentage,fibre-to-the-building/home (fttb/h),hamburg,code02,77.04
2022/1,percentage,fibre-to-the-building/home (fttb/h),hesse,code06,12.25
2022/2,percentage,fibre-to-the-building/home (fttb/h),hesse,code06,16.17
2023/1,percentage,fibre-to-the-building/home (fttb/h),hesse,code06,21.13
2023/2,percentage,fibre-to-the-building/home (fttb/h),hesse,code06,26.06
2024/1,percentage,fibre-to-the-building/home (fttb/h),hesse,code06,27.54
2024/2,percentage,fibre-to-the-building/home (fttb/h),hesse,code06,31.94
2025/1,percentage,fibre-to-the-building/home (fttb/h),hesse,code06,38.0
2022/1,percentage,fibre-to-the-building/home (fttb/h),mecklenburg western pomerania,code13,25.48
2022/2,percentage,fibre-to-the-building/home (fttb/h),mecklenburg western pomerania,code13,27.64
