Year,Units,Value
2000,percentage,84.377
2005,percentage,79.447
2010,percentage,75.752
2015,percentage,68.677
2016,percentage,71.592
2017,percentage,71.334
2018,percentage,68.811
2019,percentage,68.513
2001,percentage,
2002,percentage,
2003,percentage,
2004,percentage,
2006,percentage,
2007,percentage,
2008,percentage,
2009,percentage,
2011,percentage,
2012,percentage,
2013,percentage,
2014,percentage,
2030,percentage,
