Year,Units,time series,Value
2010,2010 = 100,direct and indirect use of raw materials,100.0
2011,2010 = 100,direct and indirect use of raw materials,100.906
2012,2010 = 100,direct and indirect use of raw materials,99.396
2013,2010 = 100,direct and indirect use of raw materials,98.792
2014,2010 = 100,direct and indirect use of raw materials,99.849
2015,2010 = 100,direct and indirect use of raw materials,97.885
2016,2010 = 100,direct and indirect use of raw materials,100.755
2017,2010 = 100,direct and indirect use of raw materials,99.396
2018,2010 = 100,direct and indirect use of raw materials,97.734
2019,2010 = 100,direct and indirect use of raw materials,97.734
2020,2010 = 100,direct and indirect use of raw materials,96.073
2021,2010 = 100,direct and indirect use of raw materials,99.547
2010,2010 = 100,direct and indirect energy consumption,100.0
2011,2010 = 100,direct and indirect energy consumption,95.751
2012,2010 = 100,direct and indirect energy consumption,95.038
2013,2010 = 100,direct and indirect energy consumption,96.49
2014,2010 = 100,direct and indirect energy consumption,90.044
2015,2010 = 100,direct and indirect energy consumption,92.347
2016,2010 = 100,direct and indirect energy consumption,95.038
2017,2010 = 100,direct and indirect energy consumption,94.057
2018,2010 = 100,direct and indirect energy consumption,
2019,2010 = 100,direct and indirect energy consumption,
2020,2010 = 100,direct and indirect energy consumption,
2021,2010 = 100,direct and indirect energy consumption,
2010,2010 = 100,direct and indirect co2 emissions,100.0
2011,2010 = 100,direct and indirect co2 emissions,97.395
2012,2010 = 100,direct and indirect co2 emissions,97.977
2013,2010 = 100,direct and indirect co2 emissions,98.721
2014,2010 = 100,direct and indirect co2 emissions,91.772
2015,2010 = 100,direct and indirect co2 emissions,93.658
2016,2010 = 100,direct and indirect co2 emissions,93.839
2017,2010 = 100,direct and indirect co2 emissions,92.089
2018,2010 = 100,direct and indirect co2 emissions,
2019,2010 = 100,direct and indirect co2 emissions,
2020,2010 = 100,direct and indirect co2 emissions,
2021,2010 = 100,direct and indirect co2 emissions,
