Year,Units,display,Value
2007,mio.,a) time series,29.7
2008,mio.,a) time series,21.0
2009,mio.,a) time series,31.1
2010,mio.,a) time series,34.6
2011,mio.,a) time series,36.4
2012,mio.,a) time series,12.5
2013,mio.,a) time series,17.2
2014,mio.,a) time series,11.9
2015,mio.,a) time series,5.0
2016,mio.,a) time series,3.8
2017,mio.,a) time series,2.5
2018,mio.,a) time series,2.9
2019,mio.,a) time series,0.2
2020,mio.,a) time series,0.0
2030,mio.,b) target (max),0.0
