Year,Units,display,Value
2010,percentage (%),a) time series,14.5
2011,percentage (%),a) time series,16.1
2012,percentage (%),a) time series,16.6
2013,percentage (%),a) time series,16.4
2014,percentage (%),a) time series,15.9
2015,percentage (%),a) time series,15.6
2016,percentage (%),a) time series,15.8
2017,percentage (%),a) time series,14.5
2018,percentage (%),a) time series,14.2
2019,percentage (%),a) time series,13.9
2030,percentage (%),b) target (max),13.0
