Year,Units,title,Value
2009,mio. eur,redd+,3.0
2010,mio. eur,redd+,20.0
2011,mio. eur,redd+,12.0
2012,mio. eur,redd+,24.9
2013,mio. eur,redd+,36.3
2014,mio. eur,redd+,31.0
2015,mio. eur,redd+,15.7
2016,mio. eur,redd+,59.8
2017,mio. eur,redd+,68.0
2018,mio. eur,redd+,63.0
2019,mio. eur,redd+,63.5
2020,mio. eur,redd+,24.2
2009,mio. eur,soil conservation,40.0
2010,mio. eur,soil conservation,152.5
2011,mio. eur,soil conservation,198.6
2012,mio. eur,soil conservation,245.3
2013,mio. eur,soil conservation,248.7
2014,mio. eur,soil conservation,239.7
2015,mio. eur,soil conservation,271.9
2016,mio. eur,soil conservation,347.4
2017,mio. eur,soil conservation,483.4
2018,mio. eur,soil conservation,571.8
2019,mio. eur,soil conservation,745.6
2020,mio. eur,soil conservation,703.5
