Year,Units,display,Value
2015,percentage (%),a) time series,21.3
2016,percentage (%),a) time series,23.8
2017,percentage (%),a) time series,28.1
2018,percentage (%),a) time series,30.9
2019,percentage (%),a) time series,33.9
2030,percentage (%),b) target (min),30.0
