Year,Units,title,Value
2015,mio. eur,a) pandemic prevention and reaction,137.9
2016,mio. eur,a) pandemic prevention and reaction,151.4
2017,mio. eur,a) pandemic prevention and reaction,220.8
2018,mio. eur,a) pandemic prevention and reaction,260.7
2019,mio. eur,a) pandemic prevention and reaction,272.5
2020,mio. eur,a) pandemic prevention and reaction,353.1
2020,mio. eur,b) containment of the covid-19 pandemic,635.2
